title,year,medium,dimensions,location,description,image
The Scream,1893,Oil and pastel on cardboard,91 x 73.5 cm,National Gallery of Norway,"One of the most iconic images in art history, depicting an agonized figure against a tumultuous orange sky",the-scream.jpg
Madonna,1894,Oil on canvas,90 x 68 cm,Munch Museum,"A sensual and spiritual representation of a woman, blending eroticism with religious imagery",madonna.jpg
The Sick Child,1885,Oil on canvas,119.5 x 118.5 cm,National Gallery of Norway,"A deeply personal work depicting the death of his sister Sophie from tuberculosis",sick-child.jpg
Anxiety,1894,Oil on canvas,94 x 74 cm,Munch Museum,"Features the same setting as The Scream but with a group of people walking towards the viewer",anxiety.jpg
The Dance of Life,1899,Oil on canvas,125.5 x 190.5 cm,National Gallery of Norway,"Depicts the three stages of woman represented through dance and color symbolism",dance-of-life.jpg
Vampire,1893,Oil on canvas,91 x 109 cm,Munch Museum,"A controversial work showing a woman with red hair embracing a man, interpreted as both tender and sinister",vampire.jpg
Melancholy,1891,Oil on canvas,72 x 98 cm,Munch Museum,"Shows a solitary figure in the foreground with a couple in the background by the sea",melancholy.jpg
The Voice,1893,Oil on canvas,87.5 x 108 cm,Museum of Fine Arts Boston,"A young woman in white standing among vertical tree trunks at twilight",the-voice.jpg
Puberty,1894,Oil on canvas,151.5 x 110 cm,National Gallery of Norway,"A nude young girl sitting on a bed with her arms crossed, with a dark shadow behind her",puberty.jpg
Death in the Sickroom,1893,Oil on canvas,134.5 x 160 cm,Munch Museum,"A family gathered in grief, showing the psychological impact of loss",death-sickroom.jpg
The Kiss,1897,Oil on canvas,99 x 81 cm,Munch Museum,"Two figures melting together in an intimate embrace, their faces merged into one",the-kiss.jpg
Ashes,1894,Oil on canvas,120.5 x 141 cm,National Gallery of Norway,"A man and woman after a failed relationship, with symbolic elements of death and rebirth",ashes.jpg
Jealousy,1895,Oil on canvas,67 x 100 cm,Rasmus Meyer Collection,"Features a man's face in the foreground with a couple in the background, exploring themes of desire and betrayal",jealousy.jpg
The Sun,1911,Oil on canvas,455 x 780 cm,University of Oslo,"A massive radiant sun over a fjord landscape, one of his most optimistic works",the-sun.jpg
Girls on the Pier,1901,Oil on canvas,136 x 125.5 cm,National Gallery of Norway,"Young women on a wooden pier, a recurring motif in Munch's work representing youth and transition",girls-pier.jpg
Self-Portrait with Cigarette,1895,Oil on canvas,110.5 x 85.5 cm,National Gallery of Norway,"A haunting self-portrait showing the artist in a haze of cigarette smoke",self-portrait-cigarette.jpg
The Storm,1893,Oil on canvas,91.8 x 130.8 cm,Museum of Modern Art,"Figures struggling against wind near white houses, expressing emotional turbulence",the-storm.jpg
Starry Night,1893,Oil on canvas,135.6 x 140 cm,Getty Museum,"A night scene with a white fence and shadowy figures, predating van Gogh's famous work",starry-night.jpg
Summer Night,1889,Oil on canvas,98 x 103 cm,Kunsthaus Zürich,"A serene landscape with a house by the water during the Nordic summer twilight",summer-night.jpg
Workers Returning Home,1913,Oil on canvas,201 x 227 cm,Munch Museum,"A social realist work depicting laborers at the end of their workday",workers-home.jpg
